catalogId,movieName,genre,rarity,cityUnlock,sagaId,sagaOrder,isLegendary,posterFile,tagline
Action_Aftershock,Aftershock,Action,Common,1,,0,0,Aftershock.png,"When the mission ends, the real fight begins."
Action_Blackout_Run,Blackout Run,Action,Common,1,,0,0,BlackoutRun.png,Power fails across the city during a prison break.
Action_Borderline,Borderline,Action,Common,1,,0,0,Borderline.png,Two nations. One fugitive. Total chaos.
Action_Breacher_Unit,Breacher Unit,Action,Common,1,,0,0,BreacherUnit.png,"Doors, walls, and regimes fall the same way."
Action_Collateral_Run,Collateral Run,Action,Common,1,,0,0,CollateralRun.png,Every second of delay costs civilian lives.
Action_Convoy_Seven,Convoy Seven,Action,Common,1,,0,0,convoyseven.jpg,Seventh convoy through the deadliest road on earth.
Action_Crash_Vector,Crash Vector,Action,Common,1,,0,0,crashvector.jpg,A pilot must land a failing jet in hostile territory.
Action_Crossfire_Alley,Crossfire Alley,Action,Common,1,,0,0,crossfirealley.jpg,Every alley is an ambush waiting to happen.
Action_Extraction_Point,Extraction Point,Action,Common,1,,0,0,extractionpoint.jpg,Get them out before the perimeter collapses.
Action_Final_Vector,Final Vector,Action,Common,1,,0,0,finalvector.jpg,Intercept the missile or lose a capital.
Action_Fireline,Fireline,Action,Common,1,,0,0,fireline.jpg,Firefighters battle flames and a hidden conspiracy.
Action_Frontline_Echo,Frontline Echo,Action,Common,1,,0,0,frontlineecho.jpg,Veterans return to the only war that still matters.
Action_Ghost_Company,Ghost Company,Action,Common,1,,0,0,ghostcompany.jpg,A unit erased from every roster except the enemy's.
Action_Hammer_Strike,Hammer Strike,Action,Common,1,,0,0,hammerstrike.jpg,A blunt force operation with surgical precision.
Action_Hardline_Justice,Hardline Justice,Action,Common,1,,0,0,hardlinejustice.jpg,A cop crosses every line to stop a syndicate.
Action_Hostile_Air,Hostile Air,Action,Common,1,,0,0,hostileair.jpg,Friendly skies turn hostile in seconds.
Action_Iron_Gate,Iron Gate,Action,Common,1,,0,0,irongate.jpg,Storm the gate or lose the hostages.
Action_Last_Stand_Bridge,Last Stand Bridge,Action,Common,1,,0,0,laststandbridge.jpg,Hold the bridge until reinforcements arrive.
